"Local Authority","Number of payments 2014","Value of payments € 2014","Number of payments 2015","Value of payments € 2015","Number of payments 2016","Value of payments € 2016","Number of payments 2017","Value of payments € 2017","Number of payments 2018","Value of payments € 2018","Number of payments 2019","Value of payments € 2019","Number of payments 2020","Value of payments € 2020"
"Carlow County Council",73,275248,54,227410,62,258100,73,287404,67,262914,34,127937,45,182440
"Cavan County Council",48,191647,49,215487,38,156196,47,203542,55,240862,28,130487,18,79286
"Clare County Council",84,264895,82,287003,76,275923,134,463939,125,434808,139,508510,114,413458
"Cork County Council",113,452648,129,532430,159,603265,161,622752,124,497735,128,529868,70,269613
"Donegal County Council",11,11160,12,13800,15,30939,20,51384,24,53891,36,105249,70,219939
"Dun L.-Rathdown County Council",18,50209,31,110730,35,135975,18,45833,5,13728,22,74176,25,81167
"Fingal County Council",37,116797,38,112746,37,129020,16,47091,35,106672,25,74541,31,92218
"Galway County Council",87,209798,95,250418,87,244149,107,295716,129,335196,134,388124,92,282696
"Kerry County Council",118,399364,150,483797,141,514166,157,597756,239,909753,275,1076713,184,703798
"Kildare County Council",12,45022,23,94196,0,null,6,18750,0,0,0,0,0,0
"Kilkenny County Council",52,217235,35,142250,36,146192,25,100078,25,105678,17,68553,34,108396
"Laois County Council",63,178004,59,174368,83,239000,101,319462,84,251704,97,283320,64,184632
"Leitrim County Council",17,39505,13,30968,13,29610,7,15812,9,27835,6,18584,17,44957
"Limerick City and County",180,593531,168,552447,180,603161,188,627058,153,553900,164,606274,126,495294
"Longford County Council",53,137737,63,149788,46,135182,66,183243,63,194595,50,150092,42,118633
"Louth County Council",0,0,0,0,5,20740,0,0,24,85602,18,61184,41,104847
"Mayo County Council",192,417854,198,425774,167,363001,148,359380,184,443931,165,429014,115,340799
"Meath County Council",27,109875,57,221578,58,243991,66,294273,87,362492,76,322491,52,215918
"Monaghan County Council",67,259413,52,189053,31,145736,49,177823,48,185709,46,188731,41,172469
"Offaly County Council",7,20233,9,27613,9,27720,23,99437,21,98318,19,90452,16,66286
"Roscommon County Council",0,0,0,0,0,0,0,0,0,0,1,4020,29,116843
"Sligo County Council",26,61290,33,96381,36,115482,35,116498,64,241397,50,202294,36,142214
"South Dublin County Council",101,362839,58,203480,55,215753,59,180951,41,106676,43,109491,24,60192
"Tipperary County Council",62,238245,55,225525,52,205930,54,206160,42,189697,32,143759,28,91018
"Waterford  City and County",82,339768,116,471588,122,493040,105,413432,92,378400,112,468781,63,281848
"Westmeath County Council",32,81311,22,64160,33,106000,56,178348,51,164950,44,144214,38,133536
"Wexford County Council",54,174052,103,386325,133,519701,160,638414,180,742093,157,651639,97,393506
"Wicklow County Council",35,97079,70,278179,48,167872,75,322038,57,206660,62,230814,36,142265
"Cork City Council",10,35424,6,23254,11,48738,6,23696,8,32607,9,31130,14,61093
"Dublin City Council",43,143058,71,246630,87,323398,88,321178,88,282437,109,341296,102,313166
"Galway City Council",17,46252,18,46468,16,49622,23,83835,27,91114,13,31946,18,47870
